, (Mani and Maybury, 1997; AAAI, 1998; CITATION; CITATION), to name some of the major events in this \x0celd in the past few years),,
" Summarization of dialogues within limited domains has been attempted within the context of the Verbmobil project (\\protocol generation"", CITATION) or by SRI\&apos;s MIMI summarizer CITATION,,"
 Recent work on spoken language summarization in unrestricted domains has focused almost exclusively on Broadcast News, mostly due to the spoken language track of recent TREC evaluations (CITATION; CITATION),,
 CITATION describe a Meeting Browser where summaries can be generated using technology established for written texts,,
 CITATION go one step further and incorporate knowledge from the speech recognizer (con\x0cdence scores) into their summarization system, as well,,
 Following (CITATION; CITATION) who use TextTiling CITATION for their summarization systems of written text, we adapted this algorithm (its block comparison version) for speech data: we choose turns to be minimal units and compute block similarity between blocks of k turns every d turns,,
, in CITATION,,
" 9 User Interface and System Performance Since we want to enable interactive summarization which allows a user to browse through a dialogue quickly to search for information he is interested in, we have integrated our summarization system into a JAVA-based graphical user interface (\\Meeting Browser"") CITATION,,"
 This interface also integrates the output of a speech recognizer CITATION, and can display a wide variety of information about a conversation, including speech acts, dialogue games, and emotions,,
 Following (CITATION; CITATION) who use TextTiling CITATION for their summarization systems of written text, we adapted this algorithm (its block comparison version) for speech data: we choose turns to be minimal units and compute block similarity between blocks of k turns every d turns,,
 While CITATION use n-gram models for this task, and (Gavald\x12 a et al,,
2 For several of the clean-up \x0clter\&apos;s components, we make use of Brill\&apos;s POS tagger CITATION,,
 For English, we use a modi\x0ced version of Brill\&apos;s original tagset, and the tagger was adapted andretrained for spoken language corpora (Callhome and Switchboard) CITATION,,
 Furthermore, a POS based shallow chunk parser CITATION is used to \x0clter out likely candidates for incomplete clauses due to speech repair or interruption by the other speaker,,
" For term-weighting, tf*idf -inspired formulae CITATION are used to emphasize words which are in the \\middle range"" of frequency in the dialogue and do not appear in a stop list,,"
"3 For turn-ranking, we use a version of the \\maximal marginal relevance"" (MMR) algorithm (Carbonell and CITATION), where emphasis is given to turns which contain many highly weighted terms for the current segment (\\salience"") and are su\x0eciently dissimilar to previously ranked turns (to minimize redundancy),,"
" Summarization of dialogues within limited domains has been attempted within the context of the Verbmobil project (\\protocol generation"", CITATION) or by SRI\&apos;s MIMI summarizer CITATION,,"
 Recent work on spoken language summarization in unrestricted domains has focused almost exclusively on Broadcast News, mostly due to the spoken language track of recent TREC evaluations (CITATION; CITATION),,
 CITATION describe a Meeting Browser where summaries can be generated using technology established for written texts,,
 CITATION go one step further and incorporate knowledge from the speech recognizer (con\x0cdence scores) into their summarization system, as well,,
" Summarization of dialogues within limited domains has been attempted within the context of the Verbmobil project (\\protocol generation"", CITATION) or by SRI\&apos;s MIMI summarizer CITATION,,"
