 We can also apply the formalism proposed by Langkilde CITATION to express the candidate-text sentences,,
 Bangalore and Rambow proposed a method to generate candidate-text sentences in the form of trees CITATION,,
 Ratnaparkhi proposed models to generate text from semantic attributes CITATION,,
 proposed using models developed for sentence-structure analysis to rank candidate-text sentences CITATION,,
 Berger and Lafferty proposed a language model for information retrieval CITATION,,
 We implemented these models within an maximum entropy framework (CITATION; CITATION; CITATION),,
 In such translation, given a source language text, S, the translated text, T, in the target language that maximizes the probability P(T|S) is selected as the most appropriate translation, Tbest, which is represented as CITATION Tbest = argmaxT P(T |S) = argmaxT (P(S|T ) P(T )) ,,
erate text from semantic attributes CITATION,,
 proposed using models developed for sentence-structure analysis to rank candidate-text sentences CITATION,,
 Berger and Lafferty proposed a language model for information retrieval CITATION,,
 proposed a way to compensate for missing information caused by a lack of language-dependent knowledge, or a knowledge gap (CITATION; CITATIONa; CITATIONb),,
0) CITATION, a tagged corpus of the Mainichi newspaper,,
 If there is no tagged corpus such as the Kyoto University text corpus, each bunsetsu can be extracted by using a morphologicalanalysis system and a dependency-analysis system such as JUMAN CITATION and KNP CITATION,,
0) CITATION, a tagged corpus of the Mainichi newspaper,,
 If there is no tagged corpus such as the Kyoto University text corpus, each bunsetsu can be extracted by using a morphologicalanalysis system and a dependency-analysis system such as JUMAN CITATION and KNP CITATION,,
0) CITATION, a tagged corpus of the Mainichi newspaper,,
 If there is no tagged corpus such as the Kyoto University text corpus, each bunsetsu can be extracted by using a morphologicalanalysis system and a dependency-analysis system such as JUMAN CITATION and KNP CITATION,,
 proposed a way to compensate for missing information caused by a lack of language-dependent knowledge, or a knowledge gap (CITATION; CITATIONa; CITATIONb),,
 We can also apply the formalism proposed by Langkilde CITATION to express the can,,
 proposed a way to compensate for missing information caused by a lack of language-dependent knowledge, or a knowledge gap (CITATION; CITATIONa; CITATIONb),,
 We can also apply the formalism proposed by Langkilde CITATION to express the can,,
u, 1995; CITATIONa; CITATIONb),,
 We can also apply the formalism proposed by Langkilde CITATION to express the candidate-text sentences,,
 Bangalore and Rambow proposed a method to generate candidate-text sentences in the form of trees CITATION,,
 Ratnaparkhi proposed models to generate text from semantic attributes CITATION,,
y the formalism proposed by Langkilde CITATION to express the candidate-text sentences,,
 Bangalore and Rambow proposed a method to generate candidate-text sentences in the form of trees CITATION,,
 Ratnaparkhi proposed models to generate text from semantic attributes CITATION,,
 proposed using models developed for sentence-structure analysis to rank candidate-text sentences CITATION,,
 We implemented these models within an maximum entropy framework (CITATION; CITATION; CITATION),,
 We implemented these models within an maximum entropy framework (CITATION; CITATION; CITATION),,
 (CITATION; CITATION; CITATIONb),,
 (CITATION; CITATION; CITATIONb),,
 can also generate surface text in a natural order (CITATIONa),,
 (CITATION; CITATION; CITATIONb),,
 can also generate surface text in a natural order (CITATIONa),,
 (CITATION; CITATION; CITATIONb),,
