discussed in (CITATIONb),,
 High-level information as it is encoded in a rule-based classifier generalizes better than learning-based methods (CITATION; CITATION),,
 holder:patient We follow CITATIONb) who found that those predicates can be best obtained by using a subset of Levins verb classes CITATION and the strong subjective expressions of the Subjectivity Lexicon CITATION,,
 CITATION found the 5 We also experimented with other sizes but they did not produce a better overall performance,,
 CITATIONb) found that many of those latter predicates are listed in one of Levins verb classes called amuse verbs,,
 While on the evaluation on the entire MPQA corpus, opinion holders in patient position are fairly rare (CITATIONb), we may wonder whether the same applies to the individual domains that we consider in this,,
 As a stateof-the-art clustering method, we consider Brown clustering CITATION as implemented in the SRILM-toolkit CITATION,,
 We induced 1000 clusters which is also the configuration used in CITATION,,
1 Conditional Random Fields (CRF) The supervised classifier most frequently used for information extraction tasks, in general, are conditional random fields (CRF) CITATION,,
 The features we use (Table 5) are mostly inspired by CITATION and by the ones used for plain support vector machines (SVMs) in CITATION,,
8 For semantic role labeling we use SWIRL9, for chunk parsing CASS (Abney, 1991) and for constituency parsing Stanford Parser CITATION,,
 Named-entity information is provided by Stanford Tagger CITATION,,
 It is mostly used in SVMs that estimate a hyperplane to separate data instances from different classes H(~ x) = ~ w ~ x + b = 0 where w Rn and b R CITATION,,
8 For semantic role labeling we use SWIRL9, for chunk parsing CASS (Abney, 1991) and for constituency parsing Stanford Parser CITATION,,
 Named-entity information is provided by Stanford Tagger CITATION,,
 It is mostly used in SVMs that estimate a hyperplane to separate data instances from different classes H(~ x) = ~ w ~ x + b = 0 where w Rn and b R CITATION,,
 We evaluate the sequential output with precision, recall and F-score as defined in (CITATION; CITATION),,
 We evaluate the sequential output with precision, recall and F-score as defined in (CITATION; CITATION),,
 Existing text collections containing product reviews (CITATION; CITATION), which are generally a popular resource for sentiment analysis, were not found suitable as they only contain few distinct opinion holders,,
 1 By agent we always mean constituents being labeled as A0 in PropBank CITATION,,
8 For semantic role labeling we use SWIRL9, for chunk parsing CASS (Abney, 1991) and for constituency parsing Stanford Parser CITATION,,
 Named-entity information is provided by Stanford Tagger CITATION,,
 It is mostly used in SVMs that estimate a hyperplane to separate data instances from different classes H(~ x) = ~ w ~ x + b = 0 where w Rn and b R CITATION,,
1 Conditional Random Fields (CRF) The supervised classifier most frequently used for information extraction tasks, in general, are conditional random fields (CRF) CITATION,,
 The features we use (Table 5) are mostly inspired by CITATION and by the ones used for plain support vector machines (SVMs) in CITATION,,
 High-level information as it is encoded in a rule-based classifier generalizes better than learning-based methods (CITATION; CITATION),,
 holder:patient We follow CITATIONb) who found that those predicates can be best obtained by using a subset of Levins verb classes CITATION and the strong subjective expressions of the Subjectivity Lexicon CITATION,,
 CITATION found the 5 We also experimented with other sizes but they did not produce a better overall performance,,
 CITATIONb) found that many of those latter predicates are listed in one of Levins verb classes called amuse,,
 CITATIONa) present an intermediate solution for opinion holder extraction inspired by distant supervision CITATION,,
 We re-use the framework by CITATIONb),,
it/moschitti 13 The cost parameter j CITATION was set to 5,,
 As a stateof-the-art clustering method, we consider Brown clustering CITATION as implemented in the SRILM-toolkit CITATION,,
 We induced 1000 clusters which is also the configuration used in CITATION,,
 The extraction of sources of opinions is an essential component for complex real-life applications, such as opinion question answering systems or opinion summarization systems CITATION,,
0 corpus CITATION,,
 We adhere to the definition of opinion holders from previous work (CITATION; CITATIONa; CITATIONb), i,,
