 2 Related Work CITATION examine opinion holder extraction using CRFs with various manually defined linguistic features and patterns automatically learnt by the AutoSlog system CITATION,,
 The features presented in CITATION and CITATION resemble very much CITATION,,
 CITATION also consider communication words to be predictive cues for opinion holders,,
 CITATION and CITATION explore the usefulness of semantic roles provided by FrameNet CITATION for both opinion holder and opinion target extraction,,
 Due to data sparseness, CITATION expand FrameNet data by using an unsupervised clustering algorithm,,
 CITATION is an extension of CITATION in that opinion holder extraction is learnt jointly with opinion detection,,
 2 Related Work CITATION examine opinion holder extraction using CRFs with various manually defined linguistic features and patterns automatically learnt by the AutoSlog system CITATION,,
 The features presented in CITATION and CITATION resemble very much CITATION,,
 CITATION also consider communication words to be predictive cues for opinion holders,,
 CITATION and CITATION explore the usefulness of semantic roles provided by FrameNet CITATION for both opinion holder and opinion target extraction,,
 Due to data sparseness, CITATION expand FrameNet data by using an unsupervised clustering algorithm,,
 CITATION is an extension of CITATION in that opinion holder extraction is learnt jointly with opinion detection,,
 All sources used for this type of generalization are known to be predictive for opinion holder classification (CITATION; CITATION; CITATION; CITATION; CITATION),,
 Predicate-argument structures (PAS) are represented by PropBank trees CITATION,,
 As far as the sequence and tree kernels are concerned, we used the parameter settings from CITATION, i,,
 The documents were parsed using the Stanford Parser CITATION,,
 Namedentity information was obtained by the Stanford tagger CITATION,,
 Semantic roles were obtained by using the parser by CITATION,,
 Opinion expressions were identified using the Subjectivity Lexicon from the MPQA project CITATION,,
 Communication words were obtained by using the Appraisal Lexicon CITATION,,
 up nouns in NOMLEX CITATION,,
 Previous research on that task has shown that convolution kernels, such as sequence and tree kernels, are quite effective when compared to manual feature engineering (CITATION; CITATION; CITATION),,
 In order to effectively use convolution kernels, it is often necessary to choose appropriate substructures of a sentence rather than represent the sentence as a whole structure (CITATION; CITATION; CITATION),,
 Complex convolution kernels have been successfully applied to various NLP tasks, such as relation extraction (CITATION; CITATION; CITATION), question answering (CITATION; CITATION), and semantic role labeling CITATION,,
 2 Related Work CITATION examine opinion holder extraction using CRFs with various manually defined linguistic features and patterns automatically learnt by the AutoSlog system CITATION,,
 The features presented in CITATION and CITATION resemble very much CITATION,,
 CITATION also consider communication words to be predictive cues for opinion holders,,
 CITATION and CITATION explore the usefulness of semantic,,
 CITATION and Nguyen et al,,
 However sources of private states and subjective speech events CITATION are a fairly good approximation of the task,,
 Previous work (CITATION; CITATION; CITATION) uses similar approximations,,
 All sources used for this type of generalization are known to be predictive for opinion holder classification (CITATION; CITATION; CITATION; CITATION; CITATION),,
 Predicate-argument structures (PAS) are represented by PropBank trees CITATION,,
 Thus, we hope to select the predicate which syntactically headword/governing category of CAND is CAND capitalized/a person? is CAND subj|dobj|iobj|pobj of OPINION/COMM? is CAND preceded by according to? CITATION does CAND contain possessive and is followed by OPINION/COMM? CITATION is CAND preceded by by which is attached to OPINION/COMM? CITATION predicate-argument pairs in which CAND occurs lemma/part-of-speech tag/subcategorization frame/voice of nearest predicate is nearest predicate OPINION/COMM? does CAND precede/follow nearest predicate? words between nearest predicate and CAND (bag of words) part-of-speech sequence between nearest predicate and CAND constituency path/grammatical relation path from predicate to CAND Table 4: Manually designed feature set,,
 The features presented in CITATION and CITATION resemble very much CITATION,,
 CITATION also consider communication words to be predictive cues for opinion holders,,
 CITATION and CITATION explore the usefulness of semantic roles provided by FrameNet CITATION for both opinion holder and opinion target extraction,,
 Due to data sparseness, CITATION expand FrameNet data by using an unsupervised clustering algorithm,,
 CITATION is an extension of CITATION in that opinion holder extraction is learnt jointly with opinion detection,,
 CITATION and Nguyen et al,,
 However sources of private states and subjective speech events CITATION are a fairly good approximation of the task,,
 Previous work (CITATION; CITATION; CITATION) uses similar approximations,,
 All sources used for this type of generalization are known to be predictive for opinion holder classification (CITATION; CITATION; CITATION; CITATION; CITATION),,
 Predicate-argument structures (PAS) are represented by PropBank trees CITATION,,
 use the kernel by CITATION which has the advantage that it also considers subsequences of the original sequence with some elements missing,,
 In this work, we evaluate two tree kernels: Subset Tree Kernel (STK) CITATION and Partial Tree Kernel (PTKbasic) CITATION,,
ction using CRFs with various manually defined linguistic features and patterns automatically learnt by the AutoSlog system CITATION,,
 The features presented in CITATION and CITATION resemble very much CITATION,,
 CITATION also consider communication words to be predictive cues for opinion holders,,
 CITATION and CITATION explore the usefulness of semantic roles provided by FrameNet CITATION for both opinion holder and opinion target extraction,,
 Due to data sparseness, CITATION expand FrameNet data by using an unsupervised clustering algorithm,,
 CITATION is an extension of CITATION in that opinion holder extraction is learnt jointly with opinion detection,,
 As far as the sequence and tree kernels are concerned, we used the parameter settings from CITATION, i,,
 The documents were parsed using the Stanford Parser CITATION,,
 Namedentity information was obtained by the Stanford tagger CITATION,,
 Semantic roles were obtained by using the parser by CITATION,,
 Opinion expressions were identified using the Subjectivity Lexicon from the MPQA project CITATION,,
 Communication words were obtained by using the Appraisal Lexicon CITATION,,
 up nouns in NOMLEX CITATION,,
 2 Related Work CITATION examine opinion holder extraction using CRFs with various manually defined linguistic features and patterns automatically learnt by the AutoSlog system CITATION,,
 The features presented in CITATION and CITATION resemble very much CITATION,,
 CITATION also consider communication words to be predictive cues for opinion holders,,
 CITATION and CITATION explore the usefulness of semantic roles provided by FrameNet CITATION for both opinion holder and opinion target extraction,,
 Due to data sparseness, CITATION expand FrameNet data by using an unsupervised clustering algorithm,,
 CITATION is an extension of CITATION in that opinion holder extraction is learnt jointly with opinion detection,,
 CITATION and Nguyen et al,,
 However sources of private states and subjective speech events CITATION are a fairly good approximation of the task,,
 Previous work (CITATION; CITATION; CITATION) uses similar approximations,,
 All sources used for this type of generalization are known to be predictive for opinion holder classification (CITATION; CITATION; CITATION; CITATION; CITATION),,
 Predicate-argument structures (PAS) are represented by PropBank trees CITATION,,
 2 Related Work CITATION examine opinion holder extraction using CRFs with various manually defined linguistic features and patterns automatically learnt by the AutoSlog system CITATION,,
 The features presented in CITATION and CITATION resemble very much CITATION,,
 CITATION also consider communication words to be predictive cues for opinion holders,,
 CITATION and CITATION explore the usefulness of semantic roles provided by FrameNet CITATION for both opinion holder and opinion target extraction,,
 Due to data sparseness, CITATION expand FrameNet data by using an unsupervised clustering algorithm,,
 CITATION is an extension of CITATION in that opinion holder extraction is learnt jointly with opinion detection,,
 All sources used for this type of generalization are known to be predictive for opinion holder classification (CITATION; CITATION; CITATION; CITATION; CITATION),,
 Predicate-argument structures (PAS) are represented by PropBank trees CITATION,,
 All sources used for this type of generalization are known to be predictive for opinion holder classification (CITATION; CITATION; CITATION; CITATION; CITATION),,
 Predicate-argument structures (PAS) are represented by PropBank trees CITATION,,
 As far as the sequence and tree kernels are concerned, we used the parameter settings from CITATION, i,,
 The documents were parsed using the Stanford Parser CITATION,,
 Namedentity information was obtained by the Stanford tagger CITATION,,
 Semantic roles were obtained by using the parser by CITATION,,
 Opinion expressions were identified using the Subjectivity Lexicon from the MPQA project CITATION,,
 Communication words were obtained by using the Appraisal Lexicon CITATION,,
y the Stanford tagger CITATION,,
 Semantic roles were obtained by using the parser by CITATION,,
 Opinion expressions were identified using the Subjectivity Lexicon from the MPQA project CITATION,,
 Communication words were obtained by using the Appraisal Lexicon CITATION,,
 up nouns in NOMLEX CITATION,,
 Complex convolution kernels have been successfully applied to various NLP tasks, such as relation extraction (CITATION; CITATION; CITATION), question answering (CITATION; CITATION), and semantic role labeling CITATION,,
 CITATION and Nguyen et al,,
 In this work, we evaluate two tree kernels: Subset Tree Kernel (STK) CITATION and Partial Tree Kernel (PTKbasic) CITATION,,
 Previous research on that task has shown that convolution kernels, such as sequence and tree kernels, are quite effective when compared to manual feature engineering (CITATION; CITATION; CITATION),,
 In order to effectively use convolution kernels, it is often necessary to choose appropriate substructures of a sentence rather than represent the sentence as a whole structure (CITATION; CITATION; CITATION),,
 Complex convolution kernels have been successfully applied to various NLP tasks, such as relation extraction (CITATION; CITATION; CITATION), question answering (CITATION; CITATION), and semantic role labeling CITATION,,
 CITATION and Nguyen et al,,
 tasks (CITATION; CITATION),,
 As far as the sequence and tree kernels are concerned, we used the parameter settings from CITATION, i,,
 The documents were parsed using the Stanford Parser CITATION,,
 Namedentity information was obtained by the Stanford tagger CITATION,,
 Semantic roles were obtained by using the parser by CITATION,,
 Opinion expressions were identified using the Subjectivity Lexicon from the MPQA project CITATION,,
 Communication words were obtained by using the Appraisal Lexicon CITATION,,
 Previous research on that task has shown that convolution kernels, such as sequence and tree kernels, are quite effective when compared to manual feature engineering (CITATION; CITATION; CITATION),,
 In order to effectively use convolution kernels, it is often necessary to choose appropriate substructures of a sentence rather than represent the sentence as a whole structure (CITATION; CITATION; CITATION),,
 Complex convolution kernels have been successfully applied to various NLP tasks, such as relation extraction (CITATION; CITATION; CITATION), question answering (CITATION; CITATION), and semantic role labeling CITATION,,
 CITATION and Nguyen et al,,
 tasks (CITATION; CITATION),,
 2 Related Work CITATION examine opinion holder extraction using CRFs with various manually defined linguistic features and patterns automatically learnt by the AutoSlog system CITATION,,
 The features presented in CITATION and CITATION resemble very much CITATION,,
 CITATION also consider communication words to be predictive cues for opinion holders,,
 CITATION and CITATION explore the usefulness of semantic roles provided by FrameNet CITATION for both opinion holder and opinion target extraction,,
 Due to data sparseness, CITATION expand FrameNet ,,
 We use the kernel by CITATION which has the advantage that it also considers subsequences of the original sequence with some elements missing,,
 In this work, we evaluate two tree kernels: Subset Tree Kernel (STK) CITATION and Partial Tree Kernel ,,
 CITATION and Nguyen et al,,
 However sources of private states and subjective speech events CITATION are a fairly good approximation of the task,,
 Previous work (CITATION; CITATION; CITATION) uses similar approximations,,
