Annotator,Paper,Cited-by,Follow-up
A,A00-1043,C00-2140,0
A,A00-1043,P02-1057,0
A,A97-1011,W09-1118,1
A,A97-1011,A00-2017,1
A,A97-1011,C00-2099,0
A,A97-1011,W04-1505,0
A,A97-1011,P99-1033,0
A,A97-1011,W06-0202,1
A,A97-1011,P01-1006,1
A,A97-1011,E12-1072,0
A,C00-1072,C04-1077,1
A,C00-1072,C08-1021,1
A,C00-1072,C08-1124,1
A,C00-1072,D08-1080,0
A,C00-1072,D09-1032,1
A,C00-1072,E09-1062,0
A,C00-1072,I08-1016,0
A,C00-1072,J10-1003,0
A,C00-1072,J11-1001,0
A,C00-1072,P02-1058,0
A,C00-1072,P05-1026,0
A,C00-1072,P06-1015,0
A,C00-1072,P06-4007,0
A,C00-1072,P07-1070,0
A,C00-1072,P08-1090,0
A,C00-1072,P08-1092,0
A,C00-1072,P09-1023,0
A,C00-1072,P09-2030,0
A,C00-1072,P10-1094,0
A,C00-1072,P11-1155,0
A,C02-1025,C10-2104,0
A,C02-1025,P03-1028,1
A,C02-1025,P05-1045,0
A,C02-1025,P05-1051,0
A,C02-1025,P06-1089,0
A,C02-1025,P06-1141,1
A,H05-1079,C08-1028,0
A,H05-1079,C08-2001,0
A,H05-1079,D10-1074,0
A,H05-1079,J07-3004,0
A,H05-1079,N06-1005,0
A,H05-1079,N06-1006,1
A,H05-1079,N10-1146,0
A,H05-1079,P06-1051,0
A,H05-1079,P06-2105,0
A,H05-1079,P11-1059,0
A,H05-1079,P12-3013,0
A,H05-1079,Q13-1015,0
A,H05-1079,S12-1082,0
A,H05-1079,S12-1108,0
A,H05-1079,S13-1002,1
A,H05-1079,S13-1014,0
A,H05-1079,W06-1621,0
A,H05-1079,W08-2004,0
A,H05-1079,W11-0112,0
A,I05-2038,C10-1076,1
A,I05-2038,C10-1088,1
A,I05-2038,D09-1157,1
A,I05-2038,N10-1004,1
A,I05-2038,P06-1128,1
A,I05-2038,P06-4005,0
