Paper,Cited-by
A00-1043,C00-2140
A00-1043,P02-1057
A97-1011,W09-1118
A97-1011,A00-2017
A97-1011,C00-2099
A97-1011,W04-1505
A97-1011,P99-1033
A97-1011,W06-0202
A97-1011,P01-1006
A97-1011,E12-1072
C00-1072,C04-1077
C00-1072,C08-1021
C00-1072,C08-1124
C00-1072,D08-1080
C00-1072,D09-1032
C00-1072,E09-1062
C00-1072,I08-1016
C00-1072,J10-1003
C00-1072,J11-1001
C00-1072,P02-1058
C00-1072,P05-1026
C00-1072,P06-1015
C00-1072,P06-4007
C00-1072,P07-1070
C00-1072,P08-1090
C00-1072,P08-1092
C00-1072,P09-1023
C00-1072,P09-2030
C00-1072,P10-1094
C00-1072,P11-1155
C02-1025,C10-2104
C02-1025,P03-1028
C02-1025,P05-1045
C02-1025,P05-1051
C02-1025,P06-1089
C02-1025,P06-1141
H05-1079,C08-1028
H05-1079,C08-2001
H05-1079,D10-1074
H05-1079,J07-3004
H05-1079,N06-1005
H05-1079,N06-1006
H05-1079,N10-1146
H05-1079,P06-1051
H05-1079,P06-2105
H05-1079,P11-1059
H05-1079,P12-3013
H05-1079,Q13-1015
H05-1079,S12-1082
H05-1079,S12-1108
H05-1079,S13-1002
H05-1079,S13-1014
H05-1079,W06-1621
H05-1079,W08-2004
H05-1079,W11-0112
I05-2038,C10-1076
I05-2038,C10-1088
I05-2038,D09-1157
I05-2038,N10-1004
I05-2038,P06-1128
I05-2038,P06-4005
J02-3001,C04-1018
J02-3001,D08-1094
J02-3001,E03-1040
J02-3001,P04-1043
J02-3001,P07-1071
J96-1002,A00-1019
J96-1002,A00-2026
J96-1002,A00-2031
J96-1002,A97-1056
J96-1002,C00-1060
J96-1002,C00-1061
J96-1002,C00-1064
J96-1002,C00-2124
J96-1002,C02-1064
J96-1002,D07-1019
J96-1002,D07-1051
J96-1002,C10-3004
J96-1002,P05-1020
J96-1002,P10-1142
J96-1002,P98-2214
J96-1002,P99-1069
J96-1002,P02-1002
J96-1002,P05-1066
J96-1002,W00-0707
J96-1002,W02-0813
J96-1002,W96-0213
N03-1028,C04-1081
N03-1028,C08-1094
N03-1028,C08-1106
N03-1028,C08-1113
N03-1028,C10-1082
N03-1028,P03-1064
N03-1028,P10-1038
N03-1028,W05-0622
N03-1028,W06-1655
N03-1028,W10-2923
N04-4028,C04-1081
N04-4028,D07-1068
N04-4028,D08-1070
N04-4028,D10-1095
N04-4028,N06-1038
N04-4028,P08-1004
N04-4028,P09-1015
N04-4028,P10-1038
N04-4028,P11-1149
N06-1040,C08-5001
N06-1040,C10-1007
N06-1040,D08-1091
N06-1040,N07-1051
P01-1048,N03-2018
P01-1048,N04-1026
P01-1048,W01-1610
P01-1048,W03-0205
P01-1048,W03-0409
P02-1031,P03-1002
P02-1046,W04-2405
P02-1053,P06-2079
P02-1053,P07-1056
P02-1057,P13-1151
P03-1002,P07-1075
P03-1002,P13-1058
P03-1002,N04-1030
P03-1054,C04-1097
P03-1054,C04-1097
P03-1069,C04-1108
P03-1069,C10-2105
P03-1069,C10-2170
P03-1069,D07-1009
P03-1069,P04-1050
P03-1069,P13-2016
P04-1015,C08-2012
