citaion, cited by, # direct citations, experiment, introduction, related work, discussion, conclusion, results, future work, other, f8
P04-1015,E06-1011,1,0,0,0,0,0,0,0,1,0.02
P05-1045,W13-2234,1,0,0,0,0,0,0,0,1,0.034482758620689655
W03-0428,D08-1003,0,0,0,0,0,0,0,0,0,0.0
P05-1045,N12-1008,0,0,0,0,0,0,0,0,0,0.0
P05-1045,N10-1068,1,0,0,0,0,0,0,0,1,0.02702702702702703
P01-1048,W03-0409,1,0,0,0,0,0,0,0,1,0.1111111111111111
W02-1001,E06-1011,2,0,0,0,0,0,0,0,2,0.04
P05-1045,C10-1087,1,0,0,0,0,0,0,0,1,0.043478260869565216
P05-1045,D12-1072,1,0,0,0,0,0,0,0,1,0.04
P04-1015,P05-1023,2,1,1,0,0,0,0,0,0,0.04878048780487805
W02-1001,D13-1033,1,0,1,0,0,0,0,0,0,0.022222222222222223
P05-1045,P10-2029,1,0,0,0,0,0,0,0,1,0.027777777777777776
P05-1045,N12-1013,0,0,0,0,0,0,0,0,0,0
H05-1079,S13-1014,0,0,0,0,0,0,0,0,0,0
P97-1003,J02-3001,0,0,0,0,0,0,0,0,0,0.0
P05-1045,D13-1043,1,0,0,0,0,0,0,0,1,0.03333333333333333
N04-4028,D07-1068,1,0,0,0,0,1,0,0,0,0.043478260869565216
P97-1003,P00-1058,3,1,0,0,0,1,0,0,1,0.09090909090909091
P05-1045,P08-2012,1,1,0,0,0,0,0,0,0,0.043478260869565216
J96-1002,P05-1020,1,0,0,0,0,0,0,0,1,0.020833333333333332
P05-1045,S13-1014,0,0,0,0,0,0,0,0,0,0
J02-3001,E03-1040,1,0,1,0,0,0,0,0,0,0.034482758620689655
P05-1045,P13-2141,1,1,0,0,0,0,0,0,0,0.047619047619047616
P04-1054,C08-1088,3,0,1,2,0,0,0,0,0,0.08108108108108109
P05-1045,D12-1076,1,0,0,0,0,0,0,0,1,0.02631578947368421
P95-1026,P02-1046,2,0,0,0,0,0,0,0,2,0.2222222222222222
P05-1045,N07-1042,0,0,0,0,0,0,0,0,0,0
