citaion, cited by, # direct citations, experiment, introduction, related work, discussion, conclusion, results, future work, other, f8
N03-1028,W10-2923,1,0,0,0,0,0,0,0,0,0.022727272727272728
W03-0430,P06-1028,2,0,0,0,0,0,0,0,0,0.06666666666666667
W06-2925,J11-1005,0,0,0,0,0,0,0,0,0,0
P05-1045,D09-1101,1,0,0,0,0,0,0,0,0,0.018518518518518517
P05-1045,P13-2116,1,0,0,0,0,0,0,0,0,0.02702702702702703
H05-1079,S13-1002,5,0,0,0,0,0,0,0,0,0.06756756756756757
P96-1025,M98-1009,1,0,0,0,0,0,0,0,0,0.3333333333333333
P97-1003,J02-3001,0,0,0,0,0,0,0,0,0,0.0
P05-1045,W10-1902,1,0,0,0,0,0,0,0,0,0.05263157894736842
W03-0428,D07-1016,1,0,0,0,0,0,0,0,0,0.05263157894736842
H05-1079,P12-3013,1,0,0,0,0,0,0,0,0,0.058823529411764705
P96-1025,C02-1112,1,0,0,0,0,0,0,0,0,0.045454545454545456
N03-1028,W06-1655,1,0,0,0,0,0,0,0,0,0.045454545454545456
P05-1045,W11-2705,1,0,0,0,0,0,0,0,0,0.09090909090909091
P05-1045,W13-0905,1,0,0,0,0,0,0,0,0,0.05263157894736842
P03-1069,P13-2016,4,0,0,0,0,0,0,0,0,0.17391304347826086
W96-0213,W03-0428,1,0,0,0,0,0,0,0,0,0.125
P05-1045,N10-1068,1,0,0,0,0,0,0,0,0,0.02702702702702703
A97-1011,P99-1033,0,0,0,0,0,0,0,0,0,0.0
P06-1114,P08-1081,1,0,0,0,0,0,0,0,0,0.03333333333333333
P07-1033,P10-2056,0,0,0,0,0,0,0,0,0,0.0
P05-1045,D10-1048,1,0,0,0,0,0,0,0,0,0.024390243902439025
N03-1028,P10-1038,1,0,0,0,0,0,0,0,0,0.03333333333333333
J02-3001,P07-1071,4,0,0,0,0,0,0,0,0,0.14814814814814814
P11-2071,D12-1025,1,0,0,0,0,0,0,0,0,0.03225806451612903
P04-1084,P10-1146,1,0,0,0,0,0,0,0,0,0.029411764705882353
P05-1045,C10-3011,1,0,0,0,0,0,0,0,0,0.1111111111111111
P03-1069,C10-2170,1,0,0,0,0,0,0,0,0,0.04
P05-1045,D09-1016,2,0,0,0,0,0,0,0,0,0.05
P05-1045,W11-0810,0,0,0,0,0,0,0,0,0,0.0
A97-1011,E12-1072,1,0,0,0,0,0,0,0,0,0.018867924528301886
P05-1045,W11-1908,1,0,0,0,0,0,0,0,0,0.041666666666666664
P05-1045,D09-1057,2,0,0,0,0,0,0,0,0,0.05405405405405406
P05-1045,N07-1009,0,0,0,0,0,0,0,0,0,0
P05-1045,N10-1072,1,0,0,0,0,0,0,0,0,0.0625
P97-1003,P05-1006,1,0,0,0,0,0,0,0,0,0.06666666666666667
P05-1045,W13-2114,1,0,0,0,0,0,0,0,0,0.03571428571428571
W01-0521,P06-1043,4,0,0,0,0,0,0,0,0,0.13793103448275862
P05-1045,P11-1037,3,0,0,0,0,0,0,0,0,0.07692307692307693
P04-1084,C10-2157,1,0,0,0,0,0,0,0,0,0.03333333333333333
P07-1033,P13-2012,1,0,0,0,0,0,0,0,0,0.05555555555555555
P05-1045,N10-1121,1,0,0,0,0,0,0,0,0,0.023809523809523808
P05-1045,W13-3616,1,0,0,0,0,0,0,0,0,0.07142857142857142
P05-1045,N12-1065,1,0,0,0,0,0,0,0,0,0.09090909090909091
P09-1113,P12-1076,4,0,0,0,0,0,0,0,0,0.14814814814814814
P97-1003,P05-1018,1,0,0,0,0,0,0,0,0,0.034482758620689655
P05-1045,P08-2012,1,0,0,0,0,0,0,0,0,0.043478260869565216
P05-1045,D08-1035,0,0,0,0,0,0,0,0,0,0.0
P05-1045,W11-1513,0,0,0,0,0,0,0,0,0,0
P05-1045,W13-1101,0,0,0,0,0,0,0,0,0,0.0
P97-1003,P03-1055,3,0,0,0,0,0,0,0,0,0.1111111111111111
P97-1003,P04-1082,2,0,0,0,0,0,0,0,0,0.06666666666666667
P05-1045,P13-2036,1,0,0,0,0,0,0,0,0,0.05
P05-1045,P10-1148,0,0,0,0,0,0,0,0,0,0.0
C00-1072,P07-1070,1,0,0,0,0,0,0,0,0,0.027777777777777776
N04-4028,D10-1095,0,0,0,0,0,0,0,0,0,0
W02-1001,N03-1033,5,0,0,0,0,0,0,0,0,0.125
N03-1028,C10-1082,1,0,0,0,0,0,0,0,0,0.03225806451612903
P05-1045,D12-1042,0,0,0,0,0,0,0,0,0,0.0
P05-1045,S10-1020,1,0,0,0,0,0,0,0,0,0.05263157894736842
W99-0613,P07-1125,2,0,0,0,0,0,0,0,0,0.06896551724137931
P05-1045,P12-3003,1,0,0,0,0,0,0,0,0,0.05
P05-1045,P12-1073,1,0,0,0,0,0,0,0,0,0.038461538461538464
P05-1045,P12-2013,1,0,0,0,0,0,0,0,0,0.06666666666666667
J02-3001,D08-1094,1,0,0,0,0,0,0,0,0,0.02127659574468085
P97-1003,P98-1106,0,0,0,0,0,0,0,0,0,0.0
P97-1003,P04-1043,1,0,0,0,0,0,0,0,0,0.04
P05-1045,N09-1037,0,0,0,0,0,0,0,0,0,0
P96-1025,C00-2146,1,0,0,0,0,0,0,0,0,0.125
W03-0430,P10-1136,1,0,0,0,0,0,0,0,0,0.037037037037037035
H05-1079,P11-1059,1,0,0,0,0,0,0,0,0,0.03571428571428571
W06-2925,D08-1059,1,0,0,0,0,0,0,0,0,0.024390243902439025
P97-1003,P03-1013,9,0,0,0,0,0,0,0,0,0.20454545454545456
P05-1045,P11-1113,1,0,0,0,0,0,0,0,0,0.1111111111111111
P97-1023,P02-1053,5,0,0,0,0,0,0,0,0,0.17857142857142858
W06-2925,W07-2217,1,0,0,0,0,0,0,0,0,0.017241379310344827
P04-1084,P06-1123,2,0,0,0,0,0,0,0,0,0.05263157894736842
P05-1045,P12-3013,1,0,0,0,0,0,0,0,0,0.058823529411764705
P05-1045,S12-1085,0,0,0,0,0,0,0,0,0,0
C00-1072,P02-1058,1,0,0,0,0,0,0,0,0,0.0625
P05-1045,D11-1072,0,0,0,0,0,0,0,0,0,0
W99-0613,P01-1008,2,0,0,0,0,0,0,0,0,0.07407407407407407
W03-0430,P06-1078,2,0,0,0,0,0,0,0,0,0.07407407407407407
P05-1045,D12-1076,1,0,0,0,0,0,0,0,0,0.02631578947368421
P04-1084,D07-1078,1,0,0,0,0,0,0,0,0,0.03125
P05-1045,D09-1120,1,0,0,0,0,0,0,0,0,0.02
C00-1072,P11-1155,1,0,0,0,0,0,0,0,0,0.037037037037037035
P05-1045,J13-2001,0,0,0,0,0,0,0,0,0,0.0
W03-0430,P04-1007,1,0,0,0,0,0,0,0,0,0.03125
P04-1015,P05-1023,2,0,0,0,0,0,0,0,0,0.04878048780487805
P05-1045,N07-2046,0,0,0,0,0,0,0,0,0,0
P05-1045,N07-1042,0,0,0,0,0,0,0,0,0,0
P04-1084,P04-1083,1,0,0,0,0,0,0,0,0,0.041666666666666664
P03-1069,C04-1108,1,0,0,0,0,0,0,0,0,0.09090909090909091
C00-1072,J10-1003,1,0,0,0,0,0,0,0,0,0.012345679012345678
P05-1045,W09-1119,2,0,0,0,0,0,0,0,0,0.04878048780487805
N06-1040,N07-1051,0,0,0,0,0,0,0,0,0,0
W06-2925,D07-1101,1,0,0,0,0,0,0,0,0,0.043478260869565216
